destination,country,continent,city,place_name,place_variant,avg cost (usd/day),avg_temp_year,hiking_score,beach_score,nightlife_score,culture_score,food_score,adventure_score,nature_score,safety_score,accommodation_type,terrain_type,travel_style
South Africa,South Africa,Africa,Kruger,Family Safari,day-trip zone,183.19,14.4,6.0,7.0,3.0,7.0,6.0,7.0,7.0,6.0,Standard Hotel,Urban-Heritage,Family
Japan,Japan,Asia,Kyoto,Ryokan Stays,nearby district,202.94,18.2,4.0,6.0,6.0,7.0,8.0,4.0,7.0,10.0,Resort/Apartment,Coastal,Luxury
Mexico,Mexico,North America,Copper Canyon,Rail and Hikes,nearby district,128.74,25.2,8.0,3.0,3.0,5.0,7.0,9.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Australia,Australia,Oceania,Canberra,National Institutions,local experience,161.87,23.8,3.0,3.0,5.0,9.0,8.0,4.0,4.0,7.0,Standard Hotel,Urban-Heritage,Culture
Morocco,Morocco,Africa,Dades Valley,Canyon Routes,day-trip zone,107.87,20.5,8.0,4.0,5.0,7.0,6.0,8.0,9.0,9.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Canada,Canada,North America,Toronto,Zoo and Museums,main area,172.74,5.6,4.0,6.0,4.0,8.0,6.0,6.0,7.0,9.0,Standard Hotel,Urban-Heritage,Family
Peru,Peru,South America,Arequipa,Slow Colonial Stay,local experience,122.79,21.3,4.0,9.0,5.0,6.0,8.0,5.0,8.0,6.0,Resort/Apartment,Coastal,Relaxation
Italy,Italy,Europe,Milan,Fashion Hotels,day-trip zone,327.57,18.0,3.0,7.0,6.0,8.0,7.0,4.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
South Africa,South Africa,Africa,Durban,Indian Ocean Culture,local experience,160.02,19.2,3.0,8.0,5.0,9.0,9.0,5.0,4.0,6.0,Standard Hotel,Coastal,Culture
Australia,Australia,Oceania,Port Douglas,Reef Luxury Stays,local experience,282.16,21.5,4.0,8.0,8.0,6.0,8.0,6.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
Italy,Italy,Europe,Lake Como,Luxury Villas,main area,313.11,11.8,5.0,7.0,8.0,7.0,8.0,5.0,6.0,9.0,Resort/Apartment,Coastal,Luxury
Argentina,Argentina,South America,El Chalten,Fitz Roy Trails,main area,122.42,16.7,9.0,6.0,4.0,4.0,7.0,9.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Egypt,Egypt,Africa,Aswan,Nile Desert Routes,nearby district,132.42,24.8,8.0,5.0,4.0,6.0,5.0,9.0,7.0,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
South Africa,South Africa,Africa,Kruger,Private Safari Lodges,nearby district,273.01,22.5,5.0,8.0,7.0,7.0,9.0,6.0,8.0,7.0,Resort/Apartment,Coastal,Luxury
Vietnam,Vietnam,Asia,Da Nang,Beach Coast,main area,140.17,29.2,5.0,8.0,4.0,4.0,7.0,5.0,5.0,7.0,Resort/Apartment,Coastal,Relaxation
Peru,Peru,South America,Arequipa,Colca Canyon,day-trip zone,103.88,15.9,9.0,3.0,4.0,7.0,6.0,9.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Thailand,Thailand,Asia,Sukhothai,Historical Park,local experience,138.75,24.5,6.0,5.0,5.0,9.0,7.0,4.0,8.0,7.0,Standard Hotel,Urban-Heritage,Culture
USA,USA,North America,New Orleans,Affordable Music Stay,nearby district,62.34,10.6,5.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
France,France,Europe,Courchevel,Alpine Resorts,day-trip zone,207.2,12.8,6.0,7.0,7.0,7.0,9.0,6.0,8.0,9.0,Resort/Apartment,Mountain-Nature,Luxury
Germany,Germany,Europe,Cologne,Cathedral Quarter,local experience,132.84,11.6,3.0,5.0,7.0,9.0,8.0,4.0,5.0,9.0,Standard Hotel,Urban-Heritage,Culture
Germany,Germany,Europe,Baden-Baden,Thermal Spas,main area,124.09,9.4,4.0,9.0,6.0,3.0,6.0,5.0,7.0,9.0,Resort/Apartment,Coastal,Relaxation
Spain,Spain,Europe,Seville,Budget Tapas Stay,nearby district,99.96,15.2,5.0,5.0,6.0,7.0,8.0,5.0,7.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Thailand,Thailand,Asia,Chiang Mai,Budget Guesthouses,main area,89.48,27.1,5.0,,6.0,6.0,9.0,6.0,7.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
New Zealand,New Zealand,Oceania,Bay of Islands,Coastal Retreat,main area,169.74,14.1,5.0,8.0,6.0,5.0,7.0,6.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Vietnam,Vietnam,Asia,Ha Giang,Mountain Loop,nearby district,124.89,26.0,9.0,5.0,,7.0,8.0,9.0,9.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Morocco,Morocco,Africa,Agadir,Beach Resorts,nearby district,155.54,25.3,4.0,8.0,5.0,7.0,7.0,4.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
USA,USA,North America,New Orleans,Affordable Music Stay,nearby district,97.54,18.6,5.0,5.0,5.0,7.0,7.0,6.0,5.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
Argentina,Argentina,South America,Salta,Colonial Center,day-trip zone,128.07,18.5,4.0,4.0,5.0,9.0,9.0,5.0,5.0,7.0,Standard Hotel,Urban-Heritage,Culture
Germany,Germany,Europe,Rugen,Baltic Beaches,day-trip zone,133.73,15.5,5.0,8.0,5.0,7.0,6.0,5.0,6.0,8.0,Resort/Apartment,Coastal,Relaxation
France,France,Europe,Lyon,Old Town and Food,day-trip zone,122.1,16.3,4.0,4.0,4.0,9.0,8.0,4.0,5.0,7.0,Standard Hotel,Urban-Heritage,Culture
South Africa,South Africa,Africa,Knysna,Lagoon Stay,day-trip zone,168.57,20.5,3.0,8.0,4.0,7.0,6.0,4.0,6.0,5.0,Resort/Apartment,Coastal,Relaxation
South Africa,South Africa,Africa,Kruger,Private Safari Lodges,nearby district,279.14,14.9,4.0,7.0,8.0,8.0,7.0,6.0,7.0,6.0,Resort/Apartment,Coastal,Luxury
Mexico,Mexico,North America,Oaxaca,Budget Food Stay,main area,106.12,18.9,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
China,China,Asia,Kunming,Affordable City Base,local experience,118.16,14.5,4.0,6.0,5.0,8.0,,5.0,5.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
Japan,Japan,Asia,Kyoto,Zen Gardens,day-trip zone,125.65,14.6,4.0,9.0,5.0,7.0,7.0,4.0,8.0,9.0,Resort/Apartment,Coastal,Relaxation
China,China,Asia,Beijing,Forbidden City,main area,177.35,9.9,5.0,4.0,7.0,10.0,8.0,4.0,5.0,9.0,Standard Hotel,Urban-Heritage,Culture
Japan,Japan,Asia,Kanazawa,Samurai and Gardens,local experience,103.83,12.6,4.0,5.0,6.0,,9.0,,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
China,China,Asia,Yunnan,Tiger Leaping Gorge,day-trip zone,183.5,12.5,8.0,,5.0,5.0,6.0,9.0,8.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Morocco,Morocco,Africa,Agadir,Beach Resorts,nearby district,146.28,23.9,5.0,8.0,6.0,6.0,6.0,6.0,9.0,8.0,Resort/Apartment,Coastal,Relaxation
South Africa,South Africa,Africa,Cape Town,Budget Hostels,main area,106.4,19.7,6.0,6.0,6.0,7.0,8.0,6.0,7.0,4.0,Guesthouse/Hostel,Urban-Heritage,Budget
Morocco,Morocco,Africa,Agadir,Family Beach Resorts,nearby district,129.6,24.8,5.0,8.0,4.0,8.0,7.0,7.0,7.0,8.0,Standard Hotel,Coastal,Family
Thailand,Thailand,Asia,Pai,Mountain Roads,local experience,121.6,25.5,8.0,3.0,3.0,6.0,8.0,10.0,8.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Mexico,Mexico,North America,Riviera Maya,Family Resorts,main area,168.02,23.6,5.0,6.0,4.0,8.0,6.0,5.0,8.0,7.0,Standard Hotel,Urban-Heritage,Family
China,China,Asia,Dali,Lake Retreat,local experience,183.09,11.4,5.0,7.0,6.0,5.0,7.0,5.0,8.0,7.0,Resort/Apartment,Coastal,Relaxation
Greece,Greece,Europe,Crete,Five Star Coast,day-trip zone,296.0,17.3,3.0,9.0,7.0,8.0,8.0,5.0,6.0,9.0,Resort/Apartment,Coastal,Luxury
Mexico,Mexico,North America,Puerto Vallarta,Pacific Beaches,day-trip zone,156.02,22.7,5.0,8.0,7.0,6.0,7.0,5.0,9.0,7.0,Resort/Apartment,Coastal,Relaxation
Canada,Canada,North America,Muskoka,Lake Cottages,day-trip zone,170.68,8.3,4.0,9.0,5.0,5.0,8.0,6.0,6.0,9.0,Resort/Apartment,Coastal,Relaxation
Australia,Australia,Oceania,Northern Territory,Uluru Desert Routes,local experience,137.41,19.7,9.0,6.0,4.0,5.0,5.0,9.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
